,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87
10,-0.00071047,0.00067968,0.00067968,0.0003503,0.00080483,0.00080483,0.0015127,0.00085723,0.0007949,0.00080385,0.0011108,0.0011019,0.0009657,0.0007394,0.00079877,0.00084794,0.00064818,0.00066763,0.00041097,0.00025552,8.2625e-05,0.00063956,9.1488e-07,0.0006069,0.00062249,0.00038069,0.00020444,0.00081179,0.00062965,4.2063e-06,0.0006801,0.00041227,0.00020701,0.00039349,0.00054804,0.00051929,0.00063949,0.00047023,0.00042457,0.00027232,0.00032719,0.00036162,0.00036992,0.00031268,0.00020554,0.00046788,0.00046788,0.00039788,0.00039712,0.00045187,0.00045345,0.00030369,0.00052426,0.00057861,0.00033522,0.00033522,0.00025091,0.00036675,0.00065163,0.00057253,0.00042355,0.00042355,0.00049342,0.00043642,0.00034749,0.00045882,0.00027395,0.00047597,0.00047597,0.00036831,0.00049703,0.00042073,0.00042073,0.00044911,0.00044407,0.00058107,0.00049742,0.00036371,0.00040485,0.00049788,0.00035056,0.0004612,0.0004612,0.00040921,0.00044932,0.00044893,0.0003317,0.0004605
11,0.0057603,-3.2158e-06,-3.2158e-06,-4.2243e-06,-6.6847e-06,-6.6847e-06,0.00020661,9.1487e-06,-1.0085e-05,-1.5424e-05,-2.378e-05,5.0116e-06,-4.7186e-06,-1.2166e-05,-1.3438e-05,-1.1267e-05,-6.6401e-06,-1.3374e-06,-5.8474e-06,1.3859e-06,9.2404e-06,3.2042e-06,3.334e-06,-4.7029e-06,-3.607e-06,6.9514e-06,5.8716e-06,-5.886e-06,-5.3144e-06,6.4535e-06,-1.3081e-06,-7.124e-07,8.4783e-06,2.6193e-06,-4.4925e-06,-2.4938e-06,-6.8815e-06,3.1805e-06,1.7472e-06,7.4271e-06,1.0003e-06,4.1226e-06,3.9291e-06,4.6546e-06,4.3584e-06,-8.9504e-07,-8.9504e-07,1.9786e-06,2.6551e-06,2.9567e-07,6.2173e-07,4.6394e-06,-2.0572e-06,-1.7613e-06,3.2651e-06,3.2651e-06,5.6018e-06,1.9083e-06,-4.0351e-06,-3.0438e-06,2.1916e-06,2.1916e-06,-2.2965e-07,1.3274e-06,2.9211e-06,5.3772e-07,4.294e-06,2.162e-06,2.162e-06,1.7088e-06,-4.2296e-07,7.8781e-07,7.8781e-07,7.9226e-07,4.3978e-07,-3.1743e-06,3.4103e-07,3.0637e-06,7.9944e-07,-7.051e-07,3.9586e-06,1.8912e-06,1.8912e-06,1.2351e-06,1.1841e-06,1.2513e-06,4.0517e-06,4.7159e-07
12,-0.0054796,-1.6912e-06,-1.6912e-06,-2.6872e-06,-2.2756e-06,-2.2756e-06,2.4148e-06,-2.1779e-06,-1.4674e-06,-1.3317e-06,-2.0038e-06,-1.7103e-06,-1.3287e-06,-9.1114e-07,-4.2455e-07,-3.925e-07,-8.2039e-07,-4.91e-07,-4.2583e-07,,,-1.0131e-06,,-6.4525e-07,-5.9437e-07,-8.537e-07,,-6.3694e-07,-3.9639e-08,,-5.4877e-07,-2.664e-07,,-3.8923e-07,-1.3393e-07,-2.3372e-07,-3.9921e-07,-5.6537e-07,-3.7289e-07,,-3.7555e-07,-5.2559e-07,-5.3024e-07,,,-2.046e-07,-2.046e-07,-3.3937e-07,-3.8497e-07,-2.8512e-07,-3.046e-07,,-1.5301e-07,-2.2341e-07,-3.7845e-07,-3.7845e-07,,-2.6728e-07,-2.2278e-07,-2.8187e-07,-3.691e-07,-3.691e-07,-2.5511e-07,-3.714e-07,-3.5145e-07,-2.7304e-07,,-4.4309e-07,-4.4309e-07,-3.6067e-07,-3.483e-07,-2.8581e-07,-2.8581e-07,-3.2757e-07,-2.5747e-07,-2.3857e-07,-3.2477e-07,-3.5818e-07,-2.579e-07,-2.4334e-07,-4.4673e-07,-3.9003e-07,-3.9003e-07,-3.117e-07,-3.3113e-07,-3.3836e-07,-4.3732e-07,-3.3568e-07
13,0.00411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,0.0014192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,0.00047189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,6.3655e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,8.602e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,2.6912e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,-2.6386e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
